wl	k
0.234	3.444
0.236	3.424
0.238	3.435
0.240	3.452
0.242	3.453
0.244	3.500
0.246	3.552
0.248	3.609
0.250	3.668
0.252	3.732
0.254	3.805
0.256	3.890
0.258	3.977
0.260	4.074
0.262	4.181
0.264	4.290
0.266	4.416
0.268	4.553
0.270	4.695
0.272	4.840
0.274	4.972
0.276	5.090
0.278	5.189
0.280	5.263
0.282	5.311
0.284	5.348
0.286	5.356
0.288	5.303
0.290	5.164
0.292	4.959
0.294	4.727
0.296	4.506
0.298	4.304
0.300	4.126
0.302	3.973
0.304	3.845
0.306	3.734
0.308	3.639
0.310	3.555
0.312	3.482
0.314	3.419
0.316	3.362
0.318	3.315
0.320	3.266
0.322	3.227
0.324	3.189
0.326	3.151
0.328	3.116
0.330	3.083
0.332	3.053
0.334	3.021
0.336	2.997
0.338	2.974
0.340	2.951
0.342	2.935
0.344	2.921
0.346	2.912
0.348	2.905
0.350	2.904
0.352	2.907
0.354	2.918
0.356	2.923
0.358	2.929
0.360	2.912
0.362	2.849
0.364	2.732
0.366	2.555
0.368	2.319
0.370	2.049
0.372	1.758
0.374	1.484
0.376	1.236
0.378	1.033
0.380	0.875
0.382	0.742
0.384	0.645
0.386	0.570
0.388	0.509
0.390	0.457
0.392	0.415
0.394	0.380
0.396	0.348
0.398	0.321
0.400	0.296
0.402	0.275
0.404	0.258
0.406	0.242
0.408	0.227
0.410	0.215
0.412	0.203
0.414	0.192
0.416	0.182
0.418	0.173
0.420	0.165
0.422	0.158
0.424	0.151
0.426	0.145
0.428	0.138
0.430	0.133
0.432	0.127
0.434	0.123
0.436	0.118
0.438	0.115
0.440	0.109
0.442	0.107
0.444	0.103
0.446	0.099
0.448	0.096
0.450	0.092
0.455	0.085
0.460	0.079
0.465	0.074
0.470	0.068
0.475	0.064
0.480	0.060
0.485	0.057
0.490	0.053
0.495	0.050
0.500	0.047
0.505	0.045
0.510	0.042
0.515	0.040
0.520	0.038
0.525	0.036
0.530	0.034
0.535	0.033
0.540	0.031
0.545	0.030
0.550	0.029
0.555	0.028
0.560	0.026
0.565	0.025
0.570	0.025
0.575	0.023
0.580	0.023
0.585	0.022
0.590	0.022
0.595	0.021
0.600	0.019
0.605	0.019
0.610	0.019
0.615	0.018
0.620	0.017
0.625	0.017
0.630	0.016
0.635	0.016
0.645	0.015
0.650	0.014
0.655	0.014
0.660	0.014
0.665	0.013
0.670	0.013
0.675	0.012
0.680	0.013
0.685	0.012
0.690	0.012
0.695	0.010
0.700	0.011
0.705	0.011
0.710	0.010
0.715	0.009
0.720	0.010
0.725	0.010
0.730	0.011
0.735	0.008
0.740	0.009
0.745	0.008
0.750	0.007
0.755	0.008
0.760	0.008
0.765	0.007
0.770	0.006
0.775	0.007
0.780	0.006
0.785	0.005
0.790	0.007
0.795	0.009
0.800	0.006
0.805	0.007
0.810	0.007
0.815	0.007
0.820	0.005
0.825	0.005
0.830	0.006
0.835	0.005
0.840	0.004
