wl	n
0.234	1.688
0.236	1.701
0.238	1.691
0.240	1.683
0.242	1.678
0.244	1.683
0.246	1.683
0.248	1.683
0.250	1.693
0.252	1.706
0.254	1.734
0.256	1.742
0.258	1.773
0.260	1.799
0.262	1.838
0.264	1.889
0.266	1.953
0.268	2.025
0.270	2.129
0.272	2.265
0.274	2.432
0.276	2.610
0.278	2.825
0.280	3.055
0.282	3.279
0.284	3.545
0.286	3.834
0.288	4.142
0.290	4.435
0.292	4.688
0.294	4.861
0.296	4.966
0.298	5.024
0.300	5.059
0.302	5.076
0.304	5.079
0.306	5.078
0.308	5.072
0.310	5.077
0.312	5.073
0.314	5.078
0.316	5.086
0.318	5.088
0.320	5.104
0.322	5.110
0.324	5.120
0.326	5.137
0.328	5.161
0.330	5.181
0.332	5.194
0.334	5.220
0.336	5.245
0.338	5.269
0.340	5.295
0.342	5.327
0.344	5.359
0.346	5.393
0.348	5.435
0.350	5.486
0.352	5.548
0.354	5.625
0.356	5.729
0.358	5.856
0.360	6.018
0.362	6.212
0.364	6.421
0.366	6.617
0.368	6.773
0.370	6.871
0.372	6.909
0.374	6.880
0.376	6.792
0.378	6.676
0.380	6.548
0.382	6.406
0.384	6.282
0.386	6.173
0.388	6.069
0.390	5.972
0.392	5.880
0.394	5.803
0.396	5.726
0.398	5.651
0.400	5.585
0.402	5.522
0.404	5.461
0.406	5.406
0.408	5.352
0.410	5.301
0.412	5.254
0.414	5.210
0.416	5.168
0.418	5.125
0.420	5.087
0.422	5.052
0.424	5.015
0.426	4.983
0.428	4.950
0.430	4.921
0.432	4.893
0.434	4.865
0.436	4.841
0.438	4.815
0.440	4.790
0.442	4.766
0.444	4.742
0.446	4.718
0.448	4.695
0.450	4.673
0.455	4.622
0.460	4.574
0.465	4.529
0.470	4.488
0.475	4.450
0.480	4.413
0.485	4.379
0.490	4.345
0.495	4.317
0.500	4.290
0.505	4.262
0.510	4.237
0.515	4.214
0.520	4.190
0.525	4.168
0.530	4.148
0.535	4.129
0.540	4.108
0.545	4.092
0.550	4.075
0.555	4.059
0.560	4.042
0.565	4.027
0.570	4.013
0.575	3.998
0.580	3.984
0.585	3.971
0.590	3.960
0.595	3.948
0.600	3.937
0.605	3.926
0.610	3.914
0.615	3.904
0.620	3.893
0.625	3.885
0.630	3.877
0.635	3.869
0.645	3.850
0.650	3.842
0.655	3.834
0.660	3.828
0.665	3.819
0.670	3.813
0.675	3.804
0.680	3.798
0.685	3.791
0.690	3.785
0.695	3.779
0.700	3.772
0.705	3.766
0.710	3.760
0.715	3.756
0.720	3.750
0.725	3.744
0.730	3.738
0.735	3.736
0.740	3.731
0.745	3.725
0.750	3.720
0.755	3.719
0.760	3.712
0.765	3.706
0.770	3.706
0.775	3.699
0.780	3.695
0.785	3.691
0.790	3.686
0.795	3.683
0.800	3.682
0.805	3.676
0.810	3.673
0.815	3.669
0.820	3.666
0.825	3.662
0.830	3.663
0.835	3.656
0.840	3.659
