#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	360.0	4.4	25000	229.7	661.1	167.326401	36.137199
0	50.000	361.0	4.4	25000	229.7	661.1	166.733749	36.135147
0	50.000	362.0	4.4	25000	229.7	661.1	167.196838	36.549629
0	50.000	363.0	4.4	25000	229.7	661.1	167.238312	36.573280
0	50.000	364.0	4.4	25000	229.7	661.1	167.389465	36.504715
0	50.000	365.0	4.4	25000	229.7	661.1	167.635696	36.616646
0	50.000	366.0	4.4	25000	229.7	661.1	167.503372	36.536991
0	50.000	367.0	4.5	25000	229.7	661.1	167.282120	36.458027
0	50.000	368.0	4.5	25000	229.7	661.1	167.289261	36.457893
0	50.000	369.0	4.5	25000	229.7	661.1	167.587875	36.440163
0	50.000	370.0	4.5	25000	229.7	661.1	167.800430	36.365120
0	50.000	371.0	4.4	25000	229.7	661.1	167.971207	36.495346
0	50.000	372.0	4.3	25000	229.7	661.1	168.047180	36.503357
0	50.000	373.0	4.1	25000	229.7	661.1	167.980209	36.375107
0	50.000	374.0	4.0	25000	229.7	661.1	167.940231	36.456245
0	50.000	375.0	3.9	25000	229.7	661.1	168.514542	36.654079
0	50.000	376.0	4.0	25000	229.7	661.1	168.418335	36.701908
0	50.000	377.0	4.2	25000	229.7	661.1	168.351837	36.711208
0	50.000	378.0	4.4	25000	229.7	661.1	168.464737	36.705738
0	50.000	379.0	4.6	25000	229.7	661.1	168.677261	36.753117
0	50.000	380.0	4.6	25000	229.7	661.1	168.667252	36.706940
0	50.000	381.0	4.6	25000	229.7	661.1	168.747604	36.677158
0	50.000	382.0	4.6	25000	229.7	661.1	169.013504	36.758484
0	50.000	383.0	4.5	25000	229.7	661.1	169.087463	36.744720
0	50.000	384.0	4.5	25000	229.7	661.1	169.094376	36.710869
0	50.000	385.0	4.5	25000	229.7	661.1	169.254532	36.763004
0	50.000	386.0	4.5	25000	229.7	661.1	169.296555	36.724731
0	50.000	387.0	4.5	25000	229.7	661.1	169.386658	36.764069
0	50.000	388.0	4.5	25000	229.7	661.1	169.508743	36.760761
0	50.000	389.0	4.5	25000	229.7	661.1	169.569763	36.739380
0	50.000	390.0	4.5	25000	229.7	661.1	169.665176	36.758316
0	50.000	391.0	4.5	25000	229.7	661.1	169.727219	36.764896
0	50.000	392.0	4.5	25000	229.7	661.1	169.830536	36.759144
0	50.000	393.0	4.5	25000	229.7	661.1	169.909241	36.739502
0	50.000	394.0	4.5	25000	229.7	661.1	169.984161	36.730843
0	50.000	395.0	4.5	25000	229.7	661.1	170.116714	36.725040
0	50.000	396.0	4.5	25000	229.7	661.1	170.193527	36.693981
0	50.000	397.0	4.6	25000	229.7	661.1	170.253845	36.676052
0	50.000	398.0	4.6	25000	229.7	661.1	170.329636	36.674122
0	50.000	399.0	4.6	25000	229.7	661.1	170.411438	36.650673
0	50.000	400.0	4.6	25000	229.7	661.1	170.459412	36.596992
0	50.000	401.0	4.6	25000	229.7	661.1	170.577087	36.558521
0	50.000	402.0	4.5	25000	229.7	661.1	170.632980	36.506401
0	50.000	403.0	4.5	25000	229.7	661.1	170.697433	36.502899
0	50.000	404.0	4.5	25000	229.7	661.1	170.777908	36.476086
0	50.000	405.0	4.5	25000	229.7	661.1	170.837204	36.454601
0	50.000	406.0	4.5	25000	229.7	661.1	170.900940	36.421375
0	50.000	407.0	4.5	25000	229.7	661.1	170.958038	36.390442
0	50.000	408.0	4.5	25000	229.7	661.1	171.001755	36.367661
0	50.000	409.0	4.6	25000	229.7	661.1	171.049927	36.351177
0	50.000	410.0	4.6	25000	229.7	661.1	171.103973	36.329647
0	50.000	411.0	4.6	25000	229.7	661.1	171.160309	36.313843
0	50.000	412.0	4.5	25000	229.7	661.1	171.206894	36.293053
0	50.000	413.0	4.5	25000	229.7	661.1	171.262283	36.269047
0	50.000	414.0	4.5	25000	229.7	661.1	171.296249	36.239277
0	50.000	415.0	4.5	25000	229.7	661.1	171.343643	36.217690
0	50.000	416.0	4.5	25000	229.7	661.1	171.396317	36.202038
0	50.000	417.0	4.5	25000	229.7	661.1	171.433624	36.177811
0	50.000	418.0	4.5	25000	229.7	661.1	171.486313	36.159672
0	50.000	419.0	4.5	25000	229.7	661.1	171.541611	36.148273
0	50.000	420.0	4.5	25000	229.7	661.1	171.595383	36.145638
0	50.000	421.0	4.5	25000	229.7	661.1	171.663177	36.130066
0	50.000	422.0	4.5	25000	229.7	661.1	171.729248	36.123184
0	50.000	423.0	4.5	25000	229.7	661.1	171.810974	36.120464
0	50.000	424.0	4.5	25000	229.7	661.1	171.887054	36.108845
0	50.000	425.0	4.5	25000	229.7	661.1	171.971298	36.098640
0	50.000	426.0	4.5	25000	229.7	661.1	172.062363	36.089020
0	50.000	427.0	4.5	25000	229.7	661.1	172.123779	36.070724
0	50.000	428.0	4.5	25000	229.7	661.1	172.219452	36.062725
0	50.000	429.0	4.5	25000	229.7	661.1	172.312943	36.050919
0	50.000	430.0	4.5	25000	229.7	661.1	172.401749	36.037331
0	50.000	431.0	4.5	25000	229.7	661.1	172.500458	36.018002
0	50.000	432.0	4.5	25000	229.7	661.1	172.605698	36.007767
0	50.000	433.0	4.5	25000	229.7	661.1	172.707245	36.008915
0	50.000	434.0	4.5	25000	229.7	661.1	172.807434	35.985176
0	50.000	435.0	4.5	25000	229.7	661.1	172.913757	35.974850
0	50.000	436.0	4.5	25000	229.7	661.1	172.996704	35.946804
0	50.000	437.0	4.5	25000	229.7	661.1	173.094742	35.916798
0	50.000	438.0	4.5	25000	229.7	661.1	173.212921	35.908062
0	50.000	439.0	4.5	25000	229.7	661.1	173.293411	35.879700
0	50.000	440.0	4.5	25000	229.7	661.1	173.387558	35.858559
0	50.000	441.0	4.5	25000	229.7	661.1	173.483200	35.839539
0	50.000	442.0	4.5	25000	229.7	661.1	173.584305	35.816257
0	50.000	443.0	4.5	25000	229.7	661.1	173.688858	35.785324
0	50.000	444.0	4.5	25000	229.7	661.1	173.799652	35.764709
0	50.000	445.0	4.5	25000	229.7	661.1	173.886307	35.742386
0	50.000	446.0	4.5	25000	229.7	661.1	173.982864	35.714710
0	50.000	447.0	4.5	25000	229.7	661.1	174.074448	35.690933
0	50.000	448.0	4.4	25000	229.7	661.1	174.159134	35.674694
0	50.000	449.0	4.4	25000	229.7	661.1	174.259750	35.652630
0	50.000	450.0	4.3	25000	229.7	661.1	174.404739	35.457687
0	50.000	451.0	4.3	25000	229.7	661.1	174.505524	35.428497
0	50.000	452.0	4.3	25000	229.7	661.1	174.587723	35.412643
0	50.000	453.0	4.3	25000	229.7	661.1	174.670151	35.405289
0	50.000	454.0	4.4	25000	229.7	661.1	174.745819	35.386547
0	50.000	455.0	4.4	25000	229.7	661.1	174.823273	35.387917
0	50.000	456.0	4.4	25000	229.7	661.1	174.913376	35.374996
0	50.000	457.0	4.4	25000	229.7	661.1	175.004730	35.361019
0	50.000	458.0	4.4	25000	229.7	661.1	175.093018	35.356339
0	50.000	459.0	4.4	25000	229.7	661.1	175.178345	35.345940
0	50.000	460.0	4.4	25000	229.7	661.1	175.250351	35.332520
0	50.000	461.0	4.4	25000	229.7	661.1	175.320953	35.316208
0	50.000	462.0	4.4	25000	229.7	661.1	175.376343	35.298679
0	50.000	463.0	4.4	25000	229.7	661.1	175.460144	35.287968
0	50.000	464.0	4.4	25000	229.7	661.1	175.528183	35.271507
0	50.000	465.0	4.4	25000	229.7	661.1	175.603271	35.254051
0	50.000	466.0	4.4	25000	229.7	661.1	175.671524	35.237350
0	50.000	467.0	4.4	25000	229.7	661.1	175.730621	35.224842
0	50.000	468.0	4.4	25000	229.7	661.1	175.801346	35.205666
0	50.000	469.0	4.4	25000	229.7	661.1	175.862122	35.191441
0	50.000	470.0	4.4	25000	229.7	661.1	175.962387	35.168831
0	50.000	471.0	4.4	25000	229.7	661.1	176.007553	35.149391
0	50.000	472.0	4.4	25000	229.7	661.1	176.067871	35.124065
