#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	360.0	4.4	50000	263.3	475.9	168.788559	37.024696
0	50.000	361.0	4.4	50000	263.3	475.9	168.825165	36.807587
0	50.000	362.0	4.4	50000	263.3	475.9	168.822174	36.698681
0	50.000	363.0	4.4	50000	263.3	475.9	168.707626	36.669224
0	50.000	364.0	4.4	50000	263.3	475.9	168.760147	36.772507
0	50.000	365.0	4.4	50000	263.3	475.9	168.724152	37.023140
0	50.000	366.0	4.4	50000	263.3	475.9	168.760040	36.887852
0	50.000	367.0	4.5	50000	263.3	475.9	168.860672	36.751205
0	50.000	368.0	4.5	50000	263.3	475.9	169.126526	36.761551
0	50.000	369.0	4.5	50000	263.3	475.9	169.066589	36.818428
0	50.000	370.0	4.5	50000	263.3	475.9	169.226044	36.902016
0	50.000	371.0	4.4	50000	263.3	475.9	169.287399	36.868652
0	50.000	372.0	4.3	50000	263.3	475.9	169.396851	36.886017
0	50.000	373.0	4.1	50000	263.3	475.9	169.449326	36.980011
0	50.000	374.0	4.0	50000	263.3	475.9	169.604523	36.984802
0	50.000	375.0	3.9	50000	263.3	475.9	169.857956	37.084198
0	50.000	376.0	4.0	50000	263.3	475.9	169.895386	37.052563
0	50.000	377.0	4.2	50000	263.3	475.9	169.994415	37.093132
0	50.000	378.0	4.4	50000	263.3	475.9	170.000763	37.139938
0	50.000	379.0	4.6	50000	263.3	475.9	170.140137	37.170612
0	50.000	380.0	4.6	50000	263.3	475.9	170.158234	37.191856
0	50.000	381.0	4.6	50000	263.3	475.9	170.355667	37.228798
0	50.000	382.0	4.6	50000	263.3	475.9	170.447113	37.270912
0	50.000	383.0	4.5	50000	263.3	475.9	170.487137	37.292503
0	50.000	384.0	4.5	50000	263.3	475.9	170.733688	37.312565
0	50.000	385.0	4.5	50000	263.3	475.9	170.659698	37.342667
0	50.000	386.0	4.5	50000	263.3	475.9	170.904434	37.367119
0	50.000	387.0	4.5	50000	263.3	475.9	170.942154	37.407269
0	50.000	388.0	4.5	50000	263.3	475.9	170.950607	37.452011
0	50.000	389.0	4.5	50000	263.3	475.9	171.163605	37.462837
0	50.000	390.0	4.5	50000	263.3	475.9	171.238220	37.485325
0	50.000	391.0	4.5	50000	263.3	475.9	171.250259	37.523453
0	50.000	392.0	4.5	50000	263.3	475.9	171.436035	37.550526
0	50.000	393.0	4.5	50000	263.3	475.9	171.580658	37.580547
0	50.000	394.0	4.5	50000	263.3	475.9	171.635757	37.610302
0	50.000	395.0	4.5	50000	263.3	475.9	171.774094	37.639172
