#ROIidx	AOI	Lambda	Bandwidth	ExposureTime	ROI_x	ROI_y	Delta	Psi
#-	deg	nm	nm	us	µm	µm	deg	deg
0	50.000	360.0	4.4	20000	263.3	475.9	167.520187	36.671215
0	50.000	361.0	4.4	20000	263.3	475.9	167.211334	36.471622
0	50.000	362.0	4.4	20000	263.3	475.9	167.281403	36.441765
0	50.000	363.0	4.4	20000	263.3	475.9	167.426071	36.821236
0	50.000	364.0	4.4	20000	263.3	475.9	167.291199	36.848663
0	50.000	365.0	4.4	20000	263.3	475.9	167.304855	36.718479
0	50.000	366.0	4.4	20000	263.3	475.9	167.368622	36.770626
0	50.000	367.0	4.5	20000	263.3	475.9	167.482651	36.814232
0	50.000	368.0	4.5	20000	263.3	475.9	167.580826	36.767765
0	50.000	369.0	4.5	20000	263.3	475.9	167.774353	36.747391
0	50.000	370.0	4.5	20000	263.3	475.9	167.850357	36.768192
0	50.000	371.0	4.4	20000	263.3	475.9	167.796616	36.969666
0	50.000	372.0	4.3	20000	263.3	475.9	167.805984	37.142056
0	50.000	373.0	4.1	20000	263.3	475.9	167.889267	37.198715
0	50.000	374.0	4.0	20000	263.3	475.9	167.987183	37.142429
0	50.000	375.0	3.9	20000	263.3	475.9	168.209183	37.159698
0	50.000	376.0	4.0	20000	263.3	475.9	168.384079	37.233704
0	50.000	377.0	4.2	20000	263.3	475.9	168.459137	37.267078
0	50.000	378.0	4.4	20000	263.3	475.9	168.479645	37.347809
0	50.000	379.0	4.6	20000	263.3	475.9	168.494019	37.357471
0	50.000	380.0	4.6	20000	263.3	475.9	168.793518	37.351116
0	50.000	381.0	4.6	20000	263.3	475.9	168.932678	37.354111
0	50.000	382.0	4.6	20000	263.3	475.9	168.927734	37.403336
0	50.000	383.0	4.5	20000	263.3	475.9	169.082855	37.437954
0	50.000	384.0	4.5	20000	263.3	475.9	169.120163	37.474827
0	50.000	385.0	4.5	20000	263.3	475.9	169.246033	37.466816
0	50.000	386.0	4.5	20000	263.3	475.9	169.437668	37.482403
0	50.000	387.0	4.5	20000	263.3	475.9	169.484512	37.455929
0	50.000	388.0	4.5	20000	263.3	475.9	169.596497	37.494377
0	50.000	389.0	4.5	20000	263.3	475.9	169.714706	37.496258
0	50.000	390.0	4.5	20000	263.3	475.9	169.773956	37.533497
0	50.000	391.0	4.5	20000	263.3	475.9	169.927307	37.551361
0	50.000	392.0	4.5	20000	263.3	475.9	170.002899	37.552711
0	50.000	393.0	4.5	20000	263.3	475.9	170.117432	37.539749
0	50.000	394.0	4.5	20000	263.3	475.9	170.213074	37.547073
0	50.000	395.0	4.5	20000	263.3	475.9	170.341309	37.561970
0	50.000	396.0	4.5	20000	263.3	475.9	170.409821	37.569687
0	50.000	397.0	4.6	20000	263.3	475.9	170.520584	37.570004
0	50.000	398.0	4.6	20000	263.3	475.9	170.619156	37.561916
0	50.000	399.0	4.6	20000	263.3	475.9	170.772903	37.560219
0	50.000	400.0	4.6	20000	263.3	475.9	170.859589	37.541851
0	50.000	401.0	4.6	20000	263.3	475.9	170.960236	37.514229
0	50.000	402.0	4.5	20000	263.3	475.9	171.056839	37.500099
0	50.000	403.0	4.5	20000	263.3	475.9	171.169876	37.481087
0	50.000	404.0	4.5	20000	263.3	475.9	171.282547	37.460976
0	50.000	405.0	4.5	20000	263.3	475.9	171.398148	37.438202
0	50.000	406.0	4.5	20000	263.3	475.9	171.522644	37.410706
0	50.000	407.0	4.5	20000	263.3	475.9	171.626846	37.378506
0	50.000	408.0	4.5	20000	263.3	475.9	171.712387	37.372803
0	50.000	409.0	4.6	20000	263.3	475.9	171.824814	37.343826
0	50.000	410.0	4.6	20000	263.3	475.9	171.929184	37.317371
0	50.000	411.0	4.6	20000	263.3	475.9	172.054916	37.301567
0	50.000	412.0	4.5	20000	263.3	475.9	172.156616	37.272572
0	50.000	413.0	4.5	20000	263.3	475.9	172.261734	37.236038
0	50.000	414.0	4.5	20000	263.3	475.9	172.384674	37.190525
0	50.000	415.0	4.5	20000	263.3	475.9	172.509964	37.150490
0	50.000	416.0	4.5	20000	263.3	475.9	172.621796	37.099613
0	50.000	417.0	4.5	20000	263.3	475.9	172.737747	37.062080
0	50.000	418.0	4.5	20000	263.3	475.9	172.837875	37.014774
0	50.000	419.0	4.5	20000	263.3	475.9	172.949753	36.958664
0	50.000	420.0	4.5	20000	263.3	475.9	173.063782	36.903000
0	50.000	421.0	4.5	20000	263.3	475.9	173.175064	36.858929
0	50.000	422.0	4.5	20000	263.3	475.9	173.285858	36.799473
0	50.000	423.0	4.5	20000	263.3	475.9	173.386307	36.737072
0	50.000	424.0	4.5	20000	263.3	475.9	173.483856	36.666416
0	50.000	425.0	4.5	20000	263.3	475.9	173.577408	36.608906
0	50.000	426.0	4.5	20000	263.3	475.9	173.671021	36.556309
0	50.000	427.0	4.5	20000	263.3	475.9	173.768600	36.479988
0	50.000	428.0	4.5	20000	263.3	475.9	173.845291	36.413189
0	50.000	429.0	4.5	20000	263.3	475.9	173.936768	36.355099
0	50.000	430.0	4.5	20000	263.3	475.9	174.014008	36.297825
0	50.000	431.0	4.5	20000	263.3	475.9	174.100021	36.231667
0	50.000	432.0	4.5	20000	263.3	475.9	174.165497	36.172806
0	50.000	433.0	4.5	20000	263.3	475.9	174.231079	36.115108
