% Model:              Membran2D3D25membranethickness.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 4 2025, 21:29
% Dimension:          2
% Nodes:              232
% Expressions:        1
% Description:        Displacement field, Z component
% Length unit:        µm
% cpl1x                   cpl1y                    w (µm) @ memb_thick=2.5, edge_width=200, m_stylus=1, circ_pos=80
58.295653396471764        58.29565339647178        -0.0017857177358265005
58.08732666971562         58.08732666971562        -0.001819451455658654
57.977211920680006        57.977211920680006       -0.0018377859610810975
57.81973000080866         57.81973000080866        -0.0018635202934936279
57.68459474177375         57.68459474177374        -0.0018842801251999367
-499.9999999999999        -499.9999999999999       0
-461.2067152521843        -461.20671525218427      -7.106479252307892E-7
-452.4204553688842        -452.4204553688841       -5.991881853934138E-7
-431.5447876735226        -431.5447876735226       -8.983996372177187E-7
-404.838991288963         -404.838991288963        -8.718036201859241E-7
-401.64570269430715       -401.6457026943071       -8.436118949659135E-7
-399.493919985778         -399.493919985778        -8.303052618453662E-7
-89.49706506247321        -89.49706506247321       -7.406595700155428E-7
-84.53306774855172        -84.5330677485517        -6.881734845577503E-7
-82.77014234899576        -82.77014234899575       -6.659626000985805E-7
-359.00585409924906       -359.00585409924906      -8.919727960193002E-7
-348.6244860021648        -348.6244860021649       -8.826994920499617E-7
-94.78850254371831        -94.7885025437183        -7.829815492850942E-7
-100.32237682104027       -100.32237682104025      -8.157879039763262E-7
-79.85231213485308        -79.85231213485308       -6.259164777820475E-7
-77.7946544699767         -77.7946544699767        -5.957539564725317E-7
-76.7860734527808         -76.78607345278081       -5.818141014653536E-7
-300.39085057594815       -300.3908505759482       -8.867369046321657E-7
-299.4376540979375        -299.4376540979375       -8.864497928950364E-7
-106.57061237712182       -106.57061237712182      -8.420383676545042E-7
-111.81880255172229       -111.81880255172227      -8.576384033770783E-7
-74.22390061014687        -74.22390061014687       -5.689918149693236E-7
-73.22811710475948        -73.22811710475948       -5.919799023012352E-7
-298.53403657094134       -298.5340365709413       -8.862807144841199E-7
-250.3955045841206        -250.3955045841206       -8.890890190270957E-7
-129.30148155078248       -129.30148155078246      -8.817996120260695E-7
-151.6015142324374        -151.6015142324374       -8.869281250463008E-7
-118.28947935252698       -118.28947935252697      -8.700803034868852E-7
-225.57002030629616       -225.57002030629616      -8.883858645146828E-7
-171.4324416577674        -171.4324416577674       -8.872173108751273E-7
-161.32303123321648       -161.3230312332165       -8.872446534007402E-7
-72.31220481973702        -72.31220481973702       -6.588611282031275E-7
-70.69065173831274        -70.69065173831254       -1.3215072768519569E-6
-196.98364707219895       -196.98364707219892      -8.87862008018591E-7
-69.66432751701169        -69.66432751701169       -2.657575155233359E-6
-68.7132142491325         -68.71321424913252       -4.6938891885787795E-6
-68.66329918478478        -68.66329918478479       -4.821095913675532E-6
-68.62213085506811        -68.62213085506812       -4.927371703188618E-6
-67.62107981550304        -67.62107981550304       -7.914146762872894E-6
-67.13254921018819        -67.13254921018819       -9.649549691642965E-6
-66.25334310713018        -66.25334310713019       -1.321964370265039E-5
-65.88309264956666        -65.88309264956666       -1.4892539125812353E-5
-64.71109894417805        -64.71109894417806       -2.0831222245649785E-5
